date_of_incident,location,incident_type,victim_identity,description,confidence_score,severity,article_url,article_title,source_name,publication_date,discovery_date
2024-11-01,"Broadbeach, QLD",assault,trans,"A 25-year-old transgender person was physically assaulted by a group of youths on a tram to Broadbeach. The attackers targeted the victim after noticing an LGBTQIA+ sticker on their backpack, indicating a hate-motivated crime.",95,medium,http://www.starobserver.com.au/news/community-condemns-attack-on-transgender-person-on-the-gold-coast/239547,Community Condemns Attack On Transgender Person On The Gold Coast,starobserver.com.au,20251104T060000Z,2026-01-11T14:05:53.613220
2023-08-01,"Unknown, Australia",hate_speech,trans,Binary Australia and Kirralie Smith were found to have vilified two trans women in a series of social media posts. Smith and Binary are liable for damages for vilifying the women. Binary Australia has pivoted to targeting transgender rights after campaigning against same-sex marriage.,90,medium,https://www.starobserver.com.au/news/binary-australia-raise-more-than-250k-for-anti-trans-activists-legal-fees/239669,Binary Australia Raise More Than $250k For Anti - Trans Activist Legal Fees,starobserver.com.au,20251111T053000Z,2026-01-11T14:06:01.981942
,"NSW, Australia",hate_speech,trans,"Kirralie Smith was found to have vilified two trans women by publishing posts on X, broadcasting their faces, names, and locations of their games. The court ruled that these actions incited hatred and serious contempt.",95,medium,https://www.starobserver.com.au/news/anti-trans-activist-kirralie-smith-ordered-to-pay-almost-100k-issue-public-apology-following-vilification-ruling/239923,Anti - Trans Activist Kirralie Smith Ordered To Pay Almost $100k & Issue Public Apology Following Vilification Ruling,starobserver.com.au,20251205T060000Z,2026-01-11T14:06:12.751620
2024-10-22,"Smithfield, QLD",assault,gay,"Three men lured a man via Grindr and violently assaulted him outside the Smithfield library. The perpetrators punched, threw, and dragged the victim, demanding money and bank details while threatening him with further violence and exposure.",95,high,http://www.starobserver.com.au/news/you-wanna-get-shot-cairns-court-shown-shocking-footage-of-violent-grindr-attack/239106,  You Wanna Get Shot ?: Cairns Court Shown Shocking Footage of Violent Grindr Attack,starobserver.com.au,20251010T063000Z,2026-01-11T14:06:19.717130
2023-12-10,"Subiaco, WA",vandalism,trans,"Anti-transgender stickers were placed in public areas around Subiaco, including near a library, parks, and a local school. The stickers, which appeared on water fountains and playground equipment, contained the message ""Trans Women Are Real Men."" Contractors have removed the stickers 38 times since July.",90,medium,https://www.starobserver.com.au/news/wa-police-investigate-anti-trans-stickers-in-perth-parks/240329,WA Police Investigate Anti - Trans Stickers In Perth Parks,starobserver.com.au,20251229T093000Z,2026-01-11T14:06:57.518848
2024-10-01,"Tiwi Islands, NT",murder,trans,"An unnamed sistergirl from the Tiwi Islands was murdered by a family member. The incident occurred between October 1, 2024, and September 30, 2025, as reported by Remembering Our Dead.",95,high,https://www.starobserver.com.au/news/trans-day-of-remembrance-2025-vigils-events-across-australia/239763,Trans Day Of Remembrance 2025 Vigils & Events Across Australia,starobserver.com.au,20251119T061500Z,2026-01-11T14:07:22.178883
null,"Sydney, NSW",discrimination,queer,"A young queer student was inadvertently outed to her homophobic parents due to a Mardi Gras campaign letter being sent to her home. The student's mother intercepted the letter, leading to a confrontation and damage to their relationship. The incident has caused the student anxiety and fear about being involved in queer communities.",75,medium,http://www.starobserver.com.au/news/lgbtq-groups-furious-after-mardi-gras-campaign-letter-inadvertently-outs-queer-student/239615,LGBTQ+ Groups Furious After Mardi Gras Campaign Letter Inadvertently Outs Queer Student,starobserver.com.au,20251107T091500Z,2026-01-11T14:13:04.651130
,"Unknown, NSW",hate_speech,trans,"Binary Australia and Kirralie Smith were found to have unlawfully vilified two trans women in social media posts. This marks the first time someone has been found to have unlawfully vilified a person for being trans under NSW law. They could be made to pay up to $100,000 in damages for vilifying one woman, with Smith facing a further $100,000 for vilifying another.",95,medium,http://www.starobserver.com.au/news/pauline-hanson-shares-grandsons-gender-question-as-part-of-binary-australia-campaign/239474,Pauline Hanson Shares Grandson Gender Question As Part Of Binary Australia Campaign,starobserver.com.au,20251027T124500Z,2026-01-11T14:13:13.605860
2023-07-01,"Bendigo, VIC",discrimination,trans,"A transgender woman, Atomic Wylder, was misgendered and incorrectly referred to men's support services by Victoria Police after seeking help for family violence. This incorrect referral delayed her access to appropriate LGBTQIA+ support services by four months. The police initially dismissed her complaint, leading to a two-year legal battle where the police denied any wrongdoing.",90,medium,https://www.abc.net.au/news/2025-12-08/victoria-police-apologises-for-misgendering-trans-woman/106086058,Victoria Police apologises for misgendering trans woman after two - year legal battle,abc.net.au,20251208T004500Z,2026-01-11T14:13:59.348958
2023-07-01,"Bendigo, VIC",discrimination,trans,"A transgender woman was misgendered and incorrectly referred to men's support services by Victoria Police after seeking help for family violence. The police fought a two-year legal battle, disputing any wrongdoing, causing the victim delayed access to LGBTQIA+ support services. Police paperwork incorrectly categorized her as male and suggested possible drug use and pregnancy.",90,medium,https://www.abc.net.au/news/2025-12-08/victoria-police-apologises-for-misgendering-transwoman/106086058,Victoria Police apologises for misgendering transwoman after two - year legal battle,abc.net.au,20251207T214500Z,2026-01-11T14:14:04.943128
,"Canberra, ACT",assault,unknown,Jaden was punched by a stranger in a homophobic attack while on a night out with his friends. The attack occurred nine months ago in Canberra. Jaden now experiences anxiety about returning to the party strip.,90,medium,https://www.abc.net.au/news/2025-11-04/queer-spaces-disappearing-australian-nightlife/105958852,"Darwin , Hobart and Canberra will all have no queer bars or clubs by the end of 2025",abc.net.au,20251104T004500Z,2026-01-11T14:14:58.351082
,rural northern Victoria,discrimination,queer,Laura McConnell was pushed out of the Truth Two by Twos cult for being a queer kid who did not want to get married and have children. She wanted to get an education and a career and pushed back on gender norms and behaviours.,85,medium,https://www.abc.net.au/news/2025-10-15/cult-inquiry-victorian-parliamentary-hearings-city-builders/105884274,Victorian inquiry hears from regional cult survivors about their isolation and shame,abc.net.au,20251014T224500Z,2026-01-11T14:15:21.823955
2024-03-01,"Sydney, NSW",hate_speech,trans,A man was convicted of hate speech for posting violent comments against transgender people on YouTube between March and May 2024. The comments included calls for violence and genocide against trans people. The man was sentenced to a 12-month community correction order.,95,high,https://www.theguardian.com/australia-news/2025/nov/21/man-becomes-first-to-be-convicted-of-hate-speech-against-trans-people-in-nsw-ntwnfb,Man becomes first to be convicted of hate speech against trans people in NSW,theguardian.com,20251121T043000Z,2026-01-11T14:18:58.580797
,"Sale, VIC",hate_speech,gay,"A witness has stated that a church may still be conducting gay conversion practices which have been described as torture by the UN. These practices are illegal in Victoria. This occurred at City Builders Church in Sale, Victoria.",75,medium,https://www.theguardian.com/australia-news/2025/oct/13/victoria-cults-inquiry-city-builders-church-gay-conversion-practices-ntwnfb,Liberal MP sister says father church is a  cult  where  gay conversion  practices may still be happening | Victoria,theguardian.com,20251013T094500Z,2026-01-11T14:21:03.672818
,"Northern Territory, Australia",discrimination,trans,"Advocates in the Northern Territory are criticizing the Chief Minister's rhetoric around banning transgender women from female jails, arguing it will lead to violence and discrimination. The NT Anti-Discrimination Commissioner warned that denying transgender people access to accommodation suited to their needs could amount to unlawful discrimination.",90,medium,https://www.sbs.com.au/news/article/nt-advocates-share-incarcerated-trans-womens-stories-amid-ban-debate/8mpeirml0,"Advocates say transgender women at risk in prison , amid NT ban debate",sbs.com.au,20251016T063000Z,2026-01-11T14:23:22.888017
