case_name,court_level,year_decided,location,latitude,longitude,key_issues,summary,significance,judgment_url,outcome
Tickle v Giggle,Federal Court,2024,Sydney,-33.8688,151.2093,"gender identity,discrimination","Roxanne Tickle, a transgender woman, sued Giggle for Girls after being removed from the female-only app. The Federal Court found indirect discrimination under the Sex Discrimination Act and awarded A$10,000 plus costs.","First Federal Court ruling on gender identity discrimination since 2013 amendments to the Sex Discrimination Act. Affirmed transgender individuals are protected under Australian anti-discrimination law.",https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2024/2024fca0960,won
NSW Registrar of Births Deaths and Marriages v Norrie,High Court,2014,Canberra,-35.2809,149.1300,"gender recognition,non-binary","Norrie sought to have their sex recorded as 'non-specific' after sex reassignment surgery. The High Court unanimously held that NSW law permits registration of a person's sex as 'non-specific' where the person is neither male nor female.","Landmark decision recognizing non-binary gender identities in Australian law. First High Court case affirming that sex is not binary for legal purposes.",https://eresources.hcourt.gov.au/showCase/2014/HCA/11,won
Commonwealth v Australian Capital Territory,High Court,2013,Canberra,-35.2759,149.1350,"marriage equality,same-sex marriage","The High Court struck down the ACT's Marriage Equality (Same Sex) Act 2013, ruling that under the Constitution, only the Commonwealth Parliament can legislate for marriage, and the federal Marriage Act does not permit same-sex marriage.","While the immediate outcome was against marriage equality, the Court confirmed Commonwealth power to legislate for same-sex marriage, paving the way for the 2017 marriage equality postal survey and subsequent legislation.",https://eresources.hcourt.gov.au/showCase/2013/HCA/55,lost
Re Kevin,Family Court,2001,Sydney,-33.8638,151.2143,"transgender,marriage recognition","The Family Court ruled that a post-operative transgender man (Kevin) was male for the purposes of the Marriage Act, allowing his marriage to a woman to be legally recognized.","Groundbreaking decision recognizing transgender identity for marriage purposes in Australia. Established that sex for legal purposes should be determined at the time of marriage, not birth.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2001/1074.html,won
Appellant S395/2002 v Minister for Immigration,High Court,2003,Canberra,-35.2859,149.1250,"asylum,sexual orientation","Two gay men from Bangladesh sought refugee status in Australia. The High Court held that requiring applicants to be 'discreet' about their sexuality to avoid persecution was not a valid basis for refusing protection.","Established that LGBTIQ asylum seekers cannot be required to hide their identity to avoid persecution. Significant precedent for refugee law internationally.",https://eresources.hcourt.gov.au/showCase/2003/HCA/71,won
Re Alex,Family Court,2004,Melbourne,-37.8136,144.9631,"transgender,minors,medical treatment","A 13-year-old transgender girl sought court authorization for hormone treatment. The Family Court approved the treatment, recognizing the importance of early intervention for gender dysphoria.","First Australian case authorizing hormone treatment for a transgender minor. Established legal framework for gender-affirming care for young people.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCA/2004/297.html,won
Re Kelvin,Family Court,2017,Brisbane,-27.4698,153.0251,"transgender,minors,medical treatment","The Full Court of the Family Court ruled that court authorization is no longer required for stage 2 hormone treatment for transgender minors when parents and medical professionals agree.","Removed significant barrier to healthcare access for transgender youth. Parents and doctors can now make treatment decisions without court involvement.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FamCAFC/2017/258.html,won
Cobaw Community Health Services v Christian Youth Camps,Victorian Court of Appeal,2014,Melbourne,-37.8086,144.9681,"discrimination,religious exemptions","Christian Youth Camps refused accommodation to a same-sex attracted youth group. The Victorian Court of Appeal found unlawful discrimination and rejected broad religious exemptions.","Important case limiting religious exemptions from anti-discrimination laws. Established that commercial services cannot discriminate based on sexual orientation.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/vic/VSCA/2014/75.html,won
McBain v Victoria,Federal Court,2000,Melbourne,-37.8186,144.9581,"discrimination,assisted reproduction","Dr. McBain challenged Victorian laws restricting IVF access to married couples or those in de facto relationships. The Federal Court found the restriction discriminated against unmarried women.","Expanded access to assisted reproductive technology beyond traditional family structures. Led to changes in state laws regarding IVF access.",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCA/2000/1009.html,won
AB v Western Australia,High Court,2011,Perth,-31.9505,115.8605,"gender recognition,transgender","AB, a transgender woman, sought to have her birth certificate amended to reflect her gender. The High Court held that Western Australian law required sex reassignment surgery for such amendments.","While upholding surgery requirements, the case highlighted the need for law reform on gender recognition. Led to subsequent legislative changes in several states.",https://eresources.hcourt.gov.au/showCase/2011/HCA/42,lost
